item_id,name,category,subcategory,description,unit,provider,attributes,active
item-001,tornillo,ferreteria,metalicos,tornillo de acero inoxidable,unidad,acme,"{""material"": ""acero"", ""tama\u00f1o"": ""M6""}",true
item-002,tuerca,ferreteria,metalicos,tuerca hexagonal,unidad,acme,"{""material"": ""acero"", ""tama\u00f1o"": ""M6""}",true
item-003,martillo,ferreteria,herramientas,martillo de madera,unidad,toolcorp,"{""peso"": ""500g"", ""tipo"": ""clavo""}",true
item-004,cinta aislante,ferreteria,electricidad,cinta para aislar cables,rollo,elecpro,"{""color"": ""negro"", ""largo"": ""10m""}",true
item-005,llave inglesa,ferreteria,herramientas,llave ajustable,unidad,toolcorp,"{""tama\u00f1o_max"": ""24mm""}",true
item-006,wd40,lubricante,aceites,aceite multiuso,ml,wd,"{""uso"": ""general"", ""olor"": ""neutral""}",true
item-007,guantes de trabajo,ferreteria,proteccion,guantes de cuero resistentes,par,safehands,"{""talla"": ""L"", ""material"": ""cuero""}",true
item-008,lampara led,iluminacion,hogar,lampara de escritorio led,unidad,brightlight,"{""potencia"": ""5W"", ""color_luz"": ""blanco""}",true
item-009,pintura acrilica,pinturas,hogar,pintura para interiores,unidad,colormax,"{""color"": ""blanco"", ""litros"": ""1L""}",true
item-010,destornillador,ferreteria,herramientas,destornillador plano y cruz,unidad,toolcorp,"{""tipo"": ""plano/cruz"", ""tama\u00f1o"": ""PH2""}",true
item-011,sierra manual,ferreteria,herramientas,sierra para madera,unidad,toolcorp,"{""tipo"": ""manual"", ""longitud"": ""18in""}",true
item-012,taladro electrico,ferreteria,electricidad,taladro electrico 600W,unidad,powertools,"{""potencia"": ""600W"", ""velocidades"": ""2""}",true
item-013,alicate universal,ferreteria,herramientas,alicate multiuso,unidad,toolcorp,"{""material"": ""acero"", ""aislado"": ""false""}",true
item-014,extension electrica,ferreteria,electricidad,extension 5 metros,unidad,elecpro,"{""largo"": ""5m"", ""enchufes"": ""3""}",true
item-015,candado,ferreteria,seguridad,candado de acero,unidad,securelock,"{""tipo"": ""llave"", ""resistente"": ""agua""}",true
item-016,lentes de seguridad,ferreteria,proteccion,lentes protectores transparentes,unidad,safehands,"{""proteccion"": ""impacto"", ""color"": ""transparente""}",true
item-017,mascarilla,ferreteria,proteccion,mascarilla antipolvo,unidad,safehands,"{""filtrado"": ""basico"", ""descartable"": ""true""}",true
item-018,regla metalica,ferreteria,medicion,regla de acero 30cm,unidad,measurix,"{""longitud"": ""30cm"", ""material"": ""acero""}",true
item-019,nivel de burbuja,ferreteria,medicion,nivel de precision,unidad,measurix,"{""longitud"": ""40cm"", ""burbujas"": ""2""}",true
item-020,pegamento industrial,adhesivos,quimicos,pegamento de alta resistencia,ml,fixit,"{""secado"": ""rapido"", ""uso"": ""industrial""}",true
item-021,sellador siliconado,adhesivos,quimicos,sellador para juntas,ml,fixit,"{""color"": ""transparente"", ""resistente_agua"": ""true""}",true
item-022,cable electrico,ferreteria,electricidad,cable unipolar 2.5mm,metro,elecpro,"{""seccion"": ""2.5mm"", ""material"": ""cobre""}",true
item-023,interruptor simple,ferreteria,electricidad,interruptor de pared,unidad,elecpro,"{""color"": ""blanco"", ""corriente"": ""10A""}",true
item-024,broca para metal,ferreteria,metalicos,broca de acero rapido,unidad,toolcorp,"{""diametro"": ""6mm"", ""material"": ""HSS""}",true
item-025,cinta metrica,ferreteria,medicion,cinta metrica 5m,unidad,measurix,"{""largo"": ""5m"", ""bloqueo"": ""true""}",true
